_id,리뷰수,장소,캠핑장이름,평점
360,8,경북 청도군 매전면 호화리 752-101,캠프원,4
361,12,인천 강화군 길상면 동검길 159-13,동검도노을캠핑장,
362,34,충북 옥천군 이원면 장찬길 205-1,마로니에숲캠핑장,2.3
363,46,강원 춘천시 남산면 홍천강변길 476,황금박쥐캠핑장 춘천점,3
364,16,전남 장성군 북하면 하남실길 212,편백힐치유의숲,3.6
365,40,강원 속초시 장성천길 151,속초밤하늘글램핑,3.2
366,31,전남 여수시 돌산읍 상하동길 268,더스타오토캠핑장,2
367,12,경기 여주시 금사면 금품1로 552,여주산촌오토캠핑장,4
368,18,경남 합천군 봉산면 압곡3길 9,마노아워터캠핑장,5
369,10,경남 거제시 하청면 대곡3길 19-7,KAM거제오토마리나,2
370,8,강원 홍천군 서면 팔봉산로 976,휴토피아,5
371,10,전남 함평군 신광면 덕일길 192-91,함평자연생태글램핑앤오토캠핑장,3.7
372,3,경북 경주시 강동면 왕신숲골안길 5,텐타우스,1
373,7,경기 양주시 부흥로1907번길 49-86,양주씨알농장캠핑장,3.5
374,41,경기 가평군 조종면 운악청계로 898,채움카라반글램핑리조트 가평점,0
375,3,경기 화성시 매송면 어천리 164,매송오토캠핑장,1
376,45,경기 구리시 동구릉로459번길 181,사노리숲캠핑장,3
377,0,강원 강릉시 경강로 2643,안목커피거리카라반,0
378,41,강원 인제군 인제읍 한석산로 1423-15,인제캠핑타운,4
379,30,충북 충주시 산척면 명서리 512-2,천등산캠핑장,3.2
380,12,충남 태안군 이원면 꾸지나무길 81-17,꾸지나무골해수욕장캠핑장,2.8
381,16,경기 남양주시 오남읍 팔현로175번길 264,팔현캠프,1.4
382,12,충남 부여군 부여읍 가탑로 75,굿뜨래웰빙마을 글램핑 라온빌리지,4.7
383,17,경남 합천군 가회면 대기1길 15-9,바람흔적글램핑카라반,4.8
384,13,강원 영월군 김삿갓면 김삿갓로 216-30,김삿갓계곡캠핑장,0
385,19,경기 연천군 미산면 어삼로 415-17,평화강변수목캠핑장,3.4
386,31,경북 영천시 상신기길 150,아우노펠리스글램핑,2.5
387,51,강원 홍천군 서면 모곡로 365-139,산으로캠핑장,5
388,4,전남 곡성군 고달면 고산로 325,꿈꾸는캠핑장,5
389,12,전북 진안군 안천면 안용로 832-23,용담 섬바위관광농원 캠핑장,3.2
390,16,충남 아산시 곡교천로 407,아산곡교천야영장,3.7
391,29,강원 영월군 김삿갓면 내리계곡로 1061,영월 느티나무캠핑장,4.4
392,29,경기 가평군 청평면 우무내길 158,호명산캠프,4
393,9,경기 양주시 칠봉산로168번길 290,양주그린캠프,4.5
394,15,강원 홍천군 서면 팔봉산로 936,밤벌오토캠핑장,3.3
395,36,경북 포항시 남구 장기면 영암리 344-2,백경오토캠핑장,3
396,17,충남 서산시 대산읍 광암4길 132,다온글램핑,3.4
397,23,충남 아산시 선장면 도고온천로 176-2,파라다이스스파도고 카라반캠핑장,4
398,9,경기 화성시 비봉면 자청로207번길 21-73,산들래자연체험학교,1.3
399,7,경기 의정부시 평화로49번길 63,도봉산숲속캠핑장,0
400,2,강원 원주시 지정면 소금산길 168,간현관광지 포레스트캠핑장,3
401,43,경북 군위군 삼국유사면 화산산성길 65,바람이좋은저녁,1.9
402,21,경기 포천시 신북면 탑신로 1066,수목원프로방스 캠핑장,4
403,4,전남 여수시 화양면 장수로 424,성동힐링센터 휴 여수캠프,5
404,18,경북 경주시 산내면 문복로 1637-32,오글오글글램핑,1
405,21,충남 공주시 정안면 광정장터길 98,정안글램핑,5
406,32,부산 기장군 일광읍 이천8길 132-20,제이스펜션앤글램핑,4.8
407,31,인천 강화군 길상면 동검길 159-39,검디관광농원 캠핑장,3.8
408,13,충남 태안군 원북면 옥파로 1152-37,학암포오토캠핑장,5
409,21,경남 함양군 병곡면 원산지소길 192,대봉캠핑랜드,5
410,6,강원 횡성군 강림면 주천강로 488,횡성별빛마을 서울캠핑장,5
411,7,광주 광산구 탑동길 345,휴파크 광산점,3.7
412,11,전남 해남군 화원면 매봉길 528-8,화원684글램핑,0
413,64,충북 보은군 탄부면 사직1길 34,어라운드빌리지 캠핑장,3.7
414,27,전남 순천시 별량면 오실길 333-1,순천승주CC글램핑,3.1
415,2,경기 포천시 영북면 산정호수로411번길 13,산정호수 가족글램핑장,4.5
416,2,경기 여주시 점동면 선사길 321,여주카라반 캠핑장,3.3
417,32,경북 포항시 남구 운하로 207-21,아쿠아베이,4.4
418,25,경북 문경시 가은읍 왕능강변길 71,카라반파파 문경점,3
419,6,경기 포천시 관인면 북원로 371-115,포천자연마을 서울캠핑장,0
420,9,경북 봉화군 명호면 광석길 13,봉화청량산캠핑장,5
421,37,경기 가평군 북면 화악산로 818,별천지오토캠핑장,4.8
422,9,전남 고흥군 점암면 성기리 산 132-4,팔영산오토캠핑장,4
423,9,경북 김천시 지례면 부항댐길 50,산내들오토캠핑장,3
424,10,경북 경주시 석현로 123,경주화랑마을오토캠핑장,3.5
425,6,충남 금산군 제원면 닥실길 16,금산국민여가오토캠핑장,4
426,8,울산 울주군 서생면 해맞이로 1560,울주해양레포츠센터 캠핑장,3.8
427,18,광주 북구 석곡로 120,내셔널지오글램핑,5
428,20,경기 포천시 화현면 봉화로 400-134,캠핑플래닛,4.6
429,11,충북 제천시 금성면 청풍호로39길 103,청풍호오토캠핑장,3.3
430,23,경기 가평군 조종면 운악청계로371번길 58-34,솔밭펜션캠핑장,4
431,20,대전 서구 흑석동 804 노루벌들,노루벌야영장,5
432,16,경기 포천시 화현면 봉화로 267,포천블루파크,5
433,9,경기 포천시 창수면 포천로2811번길 178,가래골농원 캠핑장,1
434,14,충북 단양군 가곡면 가대1길 84-7,단양무지개오토캠핑장,5
435,27,충남 천안시 동남구 문암로 224,천안무지개캠핑장,1
436,3,강원 인제군 북면 만해로 221,구만동펜션 오토캠핑장,1
437,0,전북 남원시 산내면 지리산로 712,학천야영장,5
438,8,경기 양주시 백석읍 기산로440번길 177,대궐캠핑글램핑펜션,3.7
439,28,충북 괴산군 괴산읍 충민로 317,강변오토캠핑장,4
440,27,경남 창원시 마산합포구 구산면 석곡로 342-2,창원휴양림오토캠핑장,2.3
441,40,경남 사천시 서포면 용궁로 132,비토국민여가캠핑장,4.8
442,17,경기 안산시 단원구 대부북동 1865-56,푸른섬캠핑장,4.1
443,7,충남 서천군 서면 서인로 288-19,서천해양글램핑,2.8
444,43,경기 파주시 광탄면 기산로 413-69,호수카라반캠핑장,3
445,17,경기 양주시 어하고개로 48-1,양주탑글램핑,1.8
446,20,강원 영월군 무릉도원면 백년계곡길 15-5,우리두리글램핑,5
447,43,경기 파주시 광탄면 기산리 459-6,마장호수휴캠핑장,2.4
448,17,강원 양양군 서면 구룡령로 1103-12,갈천오토캠핑장,4.5
449,41,충북 괴산군 청천면 대야로 487,코오롱스포츠캠핑파크,4.5
450,13,전남 신안군 자은면 한운길 159,천사섬캠핑&글램핑,3.6
451,14,충남 논산시 연산면 신신양로 187-8,연산황산벌 오토캠핑장,5
452,11,전북 완주군 화산면 성북리 산 79-8,경천자연쉼터캠핑장,3.2
453,4,강원 영월군 무릉도원면 무릉법흥로 516,금방아캠핑장,5
454,10,경북 포항시 남구 호미곶면 호미로 1188,썬빌리지펜션 오토캠핑장,2.4
455,13,경기 여주시 가남읍 신해1길 95-52 호수산장,호수산장캠핑장,3.5
456,14,경기 양평군 용문면 강이대길38번길 26-37,와이글램핑,2.8
457,22,충남 천안시 동남구 광덕면 해사동길 15,호두나무캠핑장,1
458,13,경기 양평군 양동면 양서동로 224,다목적광장야영장 양평숲캠핑장,3
459,17,충북 진천군 문백면 농다리로 615,덤바위캠핑장,3
460,6,전남 함평군 함평읍 주포로 403-6,주포석양마을오토캠핑장펜션,0
461,7,충남 공주시 반포면 계룡대로 1352,계룡산글램핑 동월숲,2.8
462,5,경기 가평군 설악면 봉미산안길 190-27,가평 설악하늘계곡캠핑장,4.5
463,9,경남 밀양시 단장면 도래재로 133-12,구천계곡오토캠핑장,3.3
464,10,경기 안성시 보개면 남사당로 198-5,안성맞춤랜드 오토캠핑장,0
465,23,충북 제천시 청풍면 청풍명월로 898,제천모노레일글램핑,3.6
466,0,충남 공주시 반포면 동학사2로 115-16,계룡산 동학사 자동차야영장,0
467,15,인천 강화군 길상면 해안남로 627-5,쥬라기카라반,3
468,6,충남 금산군 남일면 신동길 239,심천레져리조트,1.2
469,30,제주특별자치도 제주시 애월읍 광령남서길 40,휴림,4
470,25,경기 남양주시 오남읍 팔현로175번길 310-60,해자연캠핑장,3.9
471,19,강원 인제군 남면 설악로 1129,러빙네이쳐캠핑장,2.5
472,11,경북 문경시 가은읍 죽문길 271,문경히든벨리오토캠핑장,4.8
473,54,인천 강화군 길상면 장흥로101번길 6,마리원관광농원캠핑장,3.6
474,12,경기 김포시 금포로 1202,강변글램핑,0
475,7,경북 청송군 부남면 얼음골로 690,청송오토캠핑장,3.5
476,20,경기 포천시 이동면 화동로 2530,노원힐링캠핑장,4.8
477,10,전북 완주군 동상면 동상주천로 160-25,동상힐링캠핑장,0
478,35,충남 공주시 반포면 동학사1로 65,베스트필드,3.3
479,18,경남 거제시 장목면 거제북로 2633-16,궁농오토캠핑장,2.8
480,17,경북 구미시 양호동 614-1,구미캠핑장,5
481,2,경기 광주시 남한산성면 엄미리 243-1,은고개계곡캠핑장,3.5
482,17,경남 창원시 마산합포구 진동면 입곡길 326,돌담캠핑장&글램핑,5
483,12,충남 태안군 소원면 송의로 809-62,이태백캠핑장,4
484,2,경북 영덕군 영덕읍 해맞이길 254-69,영덕군해맞이캠핑장,5
485,12,경기 연천군 전곡읍 양원로268번길 85,숲속의쉼터글램핑,3.8
486,94,충북 충주시 동량면 지등로 1276-4,충주카누캠핑장,2.1
487,37,경남 합천군 대병면 서부로 2228,해피캠핑장,5
488,31,경기 용인시 처인구 원삼면 보개원삼로 1361,용인힐링캠핑장,1.5
489,27,경기 가평군 북면 논남기길 19-36,명돈골캠핑장,4.3
490,13,경남 고성군 삼산면 두포5길 113-109,고성블루비치 펜션&글램핑,4.2
491,8,강원 원주시 신림면 창촌길 132,매봉힐링쉼터오토캠핑장,4
492,22,제주특별자치도 제주시 조천읍 남조로 2023,제주교래자연휴양림 야영장,3.3
493,5,전북 장수군 번암면 방화동로 778,방화동가족휴가촌 오토캠핑장,5
494,42,경기 포천시 이동면 화동로 2440-34,글램핑클럽레스피아 포천백운계곡,2.3
495,8,경북 안동시 남후면 풍산단호로 835-35,단호샌드파크캠핑장,5
496,11,충남 태안군 남면 마검포길 311-42,마검포태안캠핑장,4.5
497,61,경북 경주시 천북면 새터흥림길 1-72,경주 별빛마루 글램핑 펜션,4.2
498,62,경남 김해시 가야테마길 161,카라반르몽드,3
499,1,강원 양구군 동면 후곡리 299,약수골캠프촌 숲속캠핑장,5
500,12,대구 달성군 구지면 구지서로 199,낙동강레포츠밸리 구지오토캠핑장,3.5
