_id,리뷰수,장소,캠핑장이름,평점
83,13,경남 사천시 서포면 거북길 468-116,럭셔리비토섬J글램핑,3.3
84,31,경기 용인시 기흥구 공세로47번길 13,캠프오후두시,4.4
85,53,인천 남동구 장수동 456,인천대공원 너나들이캠핑장,1.7
86,32,강원 고성군 죽왕면 동해대로 6090,송지호오토캠핑장,3.4
87,39,경기 안산시 단원구 대부황금로 976,씨엘관광농원캠핑장,3.7
88,84,부산 기장군 장안읍 해맞이로 290,더무빙,3.7
89,79,경기 김포시 월곶면 문수산로 104-107,문수골힐링캠핑장,2.5
90,150,경남 산청군 산청읍 웅석봉로285번길 80-20,럭셔리글램핑W풀빌라,2.5
91,47,대구 달성군 옥포읍 옥포로111길 95-17 오투글램핑카라반,오투글램핑 카라반,5
92,41,강원 속초시 청봉로 25,설악산국립공원 설악동야영장,4.2
93,26,경기 용인시 처인구 이동읍 경기동로785번길 30,용인소풍캠핑장,5
94,47,경기 양평군 지평면 옥현리 1503-1,양평수목원 캠핑장,3
95,22,경기 안산시 단원구 연목이길 11-1,해솔길캠핑장,3.8
96,24,강원 동해시 동해대로 6370,망상오토캠핑리조트,5
97,34,강원 홍천군 서면 밤벌길 131-53,모곡밤벌유원지 보리울오토캠핑장,2.6
98,26,강원 원주시 판부면 금대리 1343-1,금대에코힐링캠핑장,3.8
99,22,경기 구리시 왕숙천로 11-140,구리토평가족캠핑장,3.5
100,15,강원 영월군 김삿갓면 내리계곡로 1039-18,내리계곡솔밭캠핑장,4.8
101,5,충북 제천시 한수면 송계리 70-2,월악산국립공원 닷돈재자동차야영장,5
102,56,충남 아산시 음봉면 신정리길 109-9,밤소리글램핑,3.4
103,8,충남 태안군 원북면 옥파로 1152-37,태안해안국립공원 학암포야영장,3.8
104,37,전남 담양군 금성면 새덕굴길 135-88,담양 금성산성 오토캠핑장,2.6
105,49,경기 성남시 수정구 달래내로221번길 17-5,청계산 골든밸리캠핑장,4.1
106,41,경북 칠곡군 약목면 강변서로 110-43,칠곡보오토캠핑장,3.8
107,55,울산 울주군 상북면 자수정로 320,작천정별빛야영장,3.1
108,48,경기 용인시 수지구 동천로 541,힐포인트,1.7
109,31,경북 영천시 신녕면 치산관광길 263,치산관광지캠핑장,5
110,22,충남 공주시 신풍면 영정길 155-3,북캠프 공주지점,0
111,29,전북 진안군 주천면 동상주천로 1996-13,운일암반일암 국민여가캠핑장,5
112,85,제주특별자치도 서귀포시 성산읍 서성일로 433,어라운드폴리,3.9
113,23,강원 평창군 용평면 이승복생가길 160,계방산오토캠핑장,4.3
114,58,경남 사천시 서포면 토끼로 245-29,솔섬오토캠핑장,5
115,7,경기 포천시 관인면 냉정리 232-38,해와달수상카바나빌리지,5
116,27,강원 영월군 주천면 미다리길 50-24,보보스캇캠핑장,3.6
117,7,전남 화순군 이서면 도원길 80-30,도원야영장,5
118,25,충북 단양군 단성면 선암계곡로 1656,소선암오토캠핑장,4.3
119,18,강원 양양군 손양면 동명로 321-14,바다캠핑장,3.6
120,105,충북 충주시 대소원면 문주리 산 1-1,수주팔봉야영지 (폐쇄중),4.4
121,4,경북 문경시 문경읍 새재1길 47,국민여가캠핑장,2
122,7,인천 연수구 송도동 380,인천환경공단 송도스포츠파크 캠핑장,3
123,35,경기 안산시 단원구 부흥로 232-21,대부도 아라뜰캠핑장,3.8
124,8,제주특별자치도 제주시 산록북로 588,한라산국립공원 관음사지구야영장,4
125,21,인천 서구 첨단서로 190,인천청라국제도시 해변공원캠핑장,1
126,34,강원 평창군 봉평면 수림대길 57-5,솔섬오토캠핑장,5
127,41,충북 괴산군 청천면 화양로 733-38,화양동야영장,2
128,17,경기 파주시 월롱면 도감로 130,클럽레스피아 파주,2.1
129,41,경기 안산시 단원구 동산로 268,안산화랑오토캠핑장,2
130,27,충북 옥천군 청성면 한두레로 387,너와두리농촌캠핑장,3
131,39,경기 가평군 청평면 강변로 115,와이캠핑장,1.7
132,14,경기 가평군 가평읍 북한강변로 360-91,크리스월드,1.9
133,28,경기 여주시 대신면 여양로 1935-177,이포보 오토캠핑장,3.4
134,45,경남 합천군 대병면 석장1길 61-15 합천성은타운,합천H글램핑,5
135,50,충남 태안군 남면 신장리 353-181,몽산포오토캠핑장 2구역,5
136,30,전남 구례군 토지면 원기양지길 26,피아골오토캠핑장,5
137,38,인천 옹진군 영흥면 선재로186번길 86-37,선재오토캠핑장,4
138,58,경기 포천시 이동면 금강로6263번길 182-73,산중호걸 글램핑카라반,4
139,29,울산 동구 등대로 80-77,대왕암공원 오토캠핑장,5
140,17,전북 군산시 옥도면 무녀도리 223-2,무녀도오토캠핑장,3.4
141,8,경기 연천군 신서면 고대산길 84-12,연천고대산캠핑리조트,3
142,9,강원 정선군 신동읍 동강로 916-212,동강전망자연휴양림 오토캠핑장,3
143,66,인천 옹진군 영흥면 선재리 산 13,트리캠핑장,2.9
144,10,제주특별자치도 제주시 한경면 판조로 253-6,힐링카약파크 비체올린 캠핑장,2.6
145,18,경남 남해군 상주면 상주로 17,상주은모래비치캠핑장,3
146,20,인천 강화군 삼산면 삼산남로 991,스카이랜드카라반호텔리조트,4.4
147,23,강원 고성군 죽왕면 삼포리 1137-4,봉수대오토캠핑장,2.3
148,61,인천 강화군 길상면 신촌로146번길 14-11,강화캠핑파크,3
149,31,대전 동구 산내로 748,상소오토캠핑장,4.5
150,31,충북 괴산군 괴산읍 충민로검승3길 10,괴강국민여가캠핑장,3
151,80,강원 춘천시 서면 율장길 122-28,버즈글램핑,4.9
152,2,서울 서초구 청계산로 140-94,청계산장글램핑,2.4
153,37,경남 밀양시 산외면 밀양대로 3400-127,미르오토캠핑장,0
154,60,경기 시흥시 동서로 706-90,물왕숲캠핑파크,1.8
155,125,강원 강릉시 성산면 삼포암길 48,대관령솔내음오토캠핑장,1.8
156,32,강원 춘천시 사북면 사여골길 53,프라임캠핑장,3.9
157,6,충북 단양군 영춘면 남천계곡로 381-7,소백산국립공원 남천야영장,3.5
158,14,전남 해남군 송지면 갈산길 25-5,땅끝오토캠핑장,5
159,13,전남 장성군 북하면 약수리 108,내장산국립공원 가인야영장,3.5
160,55,충남 태안군 이원면 사목길 49,사목공원캠핑장,4.5
161,9,경북 경주시 감포읍 감포로 386,경주오류캠핑장,5
162,16,충북 제천시 덕산면 월악산로 913,월악산국립공원 용하야영장,4
163,51,경북 청도군 풍각면 봉수길 749-8,봉식이놀이터,3.1
164,14,강원 인제군 북면 백담로 128,백담고을캠핑장,3.2
165,19,강원 인제군 기린면 조침령로 1235-14,진동리 국민여가캠핑장,4.9
166,4,강원 속초시 해오름로 186,속초국민여가캠핑장,5
167,30,경북 청송군 주왕산면 상의리 362,상의야영장,3
168,4,강원 정선군 여량면 아우라지길 69,아우라지 관광지,4.5
169,7,경기 용인시 처인구 양지면 남평로 112,보고숲속글램핑,5
